업종명,영문명,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상
가구점,Furniture Shop,102,197,276,230,96
가전제품수리점,Home Appliance Repair Shop,396,1145,1352,718,245
가전제품판매점,Electrical Appliances Shop,75,207,305,254,112
간이주점,Pub,256,425,413,455,185
간판광고물업,Manufacture of Signs and Advertisements,43,103,190,122,38
감정평가사,Appraiser,0,18,60,25,34
건강보조식품가게,Health Additive Food Shop,200,474,700,692,480
건어물가게,Dried Fish Shop,77,161,271,301,296
건축사,Architect,5,260,456,210,69
결혼상담소,Marriage Brokerage Business,33,67,104,95,80
곡물가게,Grain Shop,36,92,125,178,178
공인노무사,Certified Public Labor Attorney,10,73,44,12,18
공인회계사,Certified Public Accountant,3,29,37,36,10
과일가게,Fruit Shop,164,427,503,694,509
교습소ㆍ공부방,Teaching Place for Extracurricular Lessons,794,2870,4229,1959,230
교습학원,Private Teaching Institute,444,1895,2984,1332,269
구내식당,Cafeteria,64,148,238,597,292
기술및직업훈련학원,Technical and Vocational Training Institute,410,995,1148,775,344
기술사,Professional Engineer,1,9,69,58,19
기타 일반의원,Other General Clinic,0,73,97,52,18
기타외국식전문점,Other Foreign Food Restaurants,1283,2496,1527,836,304
기타음식점,Other Restaurants,654,887,847,643,295
꽃가게,Flower Shop,567,857,599,677,402
내과ㆍ소아과 의원,Internal Medicine·Pediatrics Clinic,2,145,240,123,58
노래방,Singing Room,273,515,915,1406,784
담배가게,Tobacco Shop,62,146,189,177,275
당구장,Billiard Hall,294,581,985,1259,558
독서실,Reading Room,129,359,594,433,227
동물병원,Animal Hospital,11,159,67,52,25
목욕탕,Public Bath,13,46,73,130,145
문구점,Stationery Store,198,235,317,199,121
미용실,Hair Shop,1726,2751,3429,1843,655
법무사,Judicial Scrivener,2,18,71,126,176
변리사,Patent Attorney,1,23,24,28,9
변호사,Lawyer,13,434,382,198,76
부동산중개업,Real Estate Brokerage,1248,3320,7074,7685,3704
분식점,Snack Bar,1692,2524,3004,2850,1354
사진촬영업,Photography Service,686,957,524,220,120
산부인과 의원,Obsterics and Gynecology Clinic,0,12,31,15,5
생선가게,Fish Shop,174,443,712,640,466
서점,Bookstore,125,328,436,270,143
성형외과 의원,Plastic Surgery Clinic,1,55,69,33,14
세무사,Tax Accountant,70,322,168,182,145
세탁소,Laundry,188,415,739,901,733
슈퍼마켓,Supermarket,376,774,1195,1126,552
스포츠교육기관,Sports Training Institute,756,1896,1165,476,207
스포츠시설운영업,Sports Facility Operation,358,795,558,520,258
스포츠용품점,Sports Goods Shop,258,581,721,508,235
시계ㆍ귀금속점,Watch·Jewerly Shop,84,137,130,100,70
식료품가게,Grocery Store,562,1221,1791,1759,1462
신경정신과 의원,Neuropsychiatric Clinic,0,59,55,22,7
신발가게,Footwear Shop,63,135,131,182,155
실내스크린골프점,Indoor Screen Golf Range,81,170,427,380,111
실내장식가게,Interior Decorating Works,987,2690,4059,3678,1471
실외골프연습장,Outdoor Golf Practice Range,10,27,54,62,23
안경점,Eyeglasses Shop,94,258,194,73,28
안과 의원,Ophthalmic Clinic,0,25,33,9,1
애완용품점,Pet Supplies Shop,618,764,433,209,97
약국,Pharmacy,212,866,416,266,181
여관ㆍ모텔,Inn·Motel,92,263,527,714,653
여행사,Travel Agency,47,166,247,173,79
예술학원,Art Institute,593,1163,1021,457,154
예식장,Wedding Chapel,4,9,29,24,8
옷가게,Clothing Shop,2546,3473,3150,2788,1856
의료용품가게,Medical Supplies Shop,65,182,256,241,132
이륜자동차판매점,Motorcycle Shop,42,79,79,29,20
이발소,Barber Shop,81,90,121,149,732
이비인후과 의원,Ear-Nose-Throat Clinic,0,65,29,13,8
일반외과 의원,General Surgery Clinic,0,110,152,57,29
일식전문점,Japanese Food Restaurant,678,1314,1121,548,178
자동차수리점,Car Repair Shop,735,1465,1439,909,367
자전거판매점,Bicycle Shop,20,48,40,32,25
장난감가게,Toy Shop,83,160,183,88,44
정육점,Butcher Shop,362,1148,1332,682,245
제과점,Bakery,703,1083,994,668,191
종합병원,General Hospital,1,34,64,50,44
주유소,Gas Station,57,168,303,312,465
주차장운영업,Parking Lot Operation,44,185,333,487,560
중고차판매점,Used Car Store,68,234,243,125,52
중식전문점,Chinese Food Restaurant,501,1321,1388,1080,444
채소가게,Vegetable Shop,177,365,521,842,827
철물점,Hardware Shop,48,97,125,153,126
치과병원ㆍ의원,Dental Hospital·Clinic,14,459,295,135,72
침구ㆍ커튼가게,Bedding and Curtain Shop,84,160,253,277,197
커피음료점,Coffee and Beverage Shop,5002,6379,5437,4244,1787
컴퓨터판매점,Computer Shop,76,182,263,113,29
통신판매업,Mail Order Business,56831,63009,30485,15518,7321
패스트푸드점,Fast Food Store,2220,3209,3084,2219,716
펜션ㆍ게스트하우스,Pension·Guest House,231,623,919,1170,1205
편의점,Convenience Store,1111,1643,2363,2886,891
피부관리업,Skin Beauty Shop,2559,3536,2122,984,292
피부ㆍ비뇨기과 의원,Dermatology·Urology Clinic,5,180,100,38,19
한방병원ㆍ한의원,Oriental Medical Hospital·Clinic,55,416,238,165,48
한식전문점,Korean Food Restaurant,10388,17860,20568,19787,10718
헬스클럽,Fitness Center,386,878,375,111,71
호프전문점,Beer Bar,752,1240,1570,1467,571
화장품가게,Cosmetics Shop,1036,1964,2125,1570,773
휴대폰가게,Mobile Phone Shop,1198,1781,792,364,199
LPG 충전소,LPG Station,8,14,25,88,21
pc방,PC Room,249,725,884,615,246
