30세 미만,30세 이상,40세 이상,50세 이상,60세 이상
102,197,276,230,96
396,1145,1352,718,245
75,207,305,254,112
256,425,413,455,185
43,103,190,122,38
0,18,60,25,34
200,474,700,692,480
77,161,271,301,296
5,260,456,210,69
33,67,104,95,80
36,92,125,178,178
10,73,44,12,18
3,29,37,36,10
164,427,503,694,509
794,2870,4229,1959,230
444,1895,2984,1332,269
64,148,238,597,292
410,995,1148,775,344
1,9,69,58,19
0,73,97,52,18
1283,2496,1527,836,304
654,887,847,643,295
567,857,599,677,402
2,145,240,123,58
273,515,915,1406,784
62,146,189,177,275
294,581,985,1259,558
129,359,594,433,227
11,159,67,52,25
13,46,73,130,145
198,235,317,199,121
1726,2751,3429,1843,655
2,18,71,126,176
1,23,24,28,9
13,434,382,198,76
1248,3320,7074,7685,3704
1692,2524,3004,2850,1354
686,957,524,220,120
0,12,31,15,5
174,443,712,640,466
125,328,436,270,143
1,55,69,33,14
70,322,168,182,145
188,415,739,901,733
376,774,1195,1126,552
756,1896,1165,476,207
358,795,558,520,258
258,581,721,508,235
84,137,130,100,70
562,1221,1791,1759,1462
0,59,55,22,7
63,135,131,182,155
81,170,427,380,111
987,2690,4059,3678,1471
10,27,54,62,23
94,258,194,73,28
0,25,33,9,1
618,764,433,209,97
212,866,416,266,181
92,263,527,714,653
47,166,247,173,79
593,1163,1021,457,154
4,9,29,24,8
2546,3473,3150,2788,1856
65,182,256,241,132
42,79,79,29,20
81,90,121,149,732
0,65,29,13,8
0,110,152,57,29
678,1314,1121,548,178
735,1465,1439,909,367
20,48,40,32,25
83,160,183,88,44
362,1148,1332,682,245
703,1083,994,668,191
1,34,64,50,44
57,168,303,312,465
44,185,333,487,560
68,234,243,125,52
501,1321,1388,1080,444
177,365,521,842,827
48,97,125,153,126
14,459,295,135,72
84,160,253,277,197
5002,6379,5437,4244,1787
76,182,263,113,29
56831,63009,30485,15518,7321
2220,3209,3084,2219,716
231,623,919,1170,1205
1111,1643,2363,2886,891
2559,3536,2122,984,292
5,180,100,38,19
55,416,238,165,48
10388,17860,20568,19787,10718
386,878,375,111,71
752,1240,1570,1467,571
1036,1964,2125,1570,773
1198,1781,792,364,199
8,14,25,88,21
249,725,884,615,246
