업종명,영문명,합계,서울,인천,경기,강원,대전,충북,충남,세종,광주,전북,전남,대구,경북,부산,울산,경남,제주
가구점,Furniture Shop,901,98,46,343,24,22,23,40,9,26,45,22,31,48,47,14,43,20
가전제품수리점,Home Appliance Repair Shop,3856,603,312,1227,99,134,101,185,28,107,143,111,169,112,239,63,199,24
가전제품판매점,Electrical Appliances Shop,953,152,53,298,28,29,25,45,7,21,37,34,22,48,51,18,56,29
간이주점,Pub,1734,424,131,464,41,15,67,69,7,25,40,51,42,42,120,24,151,21
간판광고물업,Manufacture of Signs and Advertisements,496,79,16,163,17,8,18,26,1,11,14,22,22,29,25,11,26,8
감정평가사,Appraiser,137,29,6,46,3,4,5,4,1,3,0,2,5,1,10,6,11,1
건강보조식품가게,Health Additive Food Shop,2546,508,121,607,77,93,61,181,13,77,137,60,105,128,142,51,149,36
건어물가게,Dried Fish Shop,1107,108,85,217,85,15,17,58,5,23,40,122,28,89,83,26,100,6
건축사,Architect,1000,326,24,222,28,12,36,30,9,29,30,36,43,28,45,18,43,41
결혼상담소,Marriage Brokerage Business,379,121,13,60,10,10,6,12,2,19,17,12,27,13,30,11,14,2
곡물가게,Grain Shop,610,59,45,121,36,31,21,46,2,15,43,53,20,41,28,9,32,8
공인노무사,Certified Public Labor Attorney,157,52,8,39,3,4,4,7,1,5,3,3,3,6,9,4,4,2
공인회계사,Certified Public Accountant,115,55,4,24,3,0,1,2,0,0,2,3,8,1,6,2,1,3
과일가게,Fruit Shop,2298,269,96,546,56,64,92,119,19,73,102,88,77,160,152,23,195,167
교습소ㆍ공부방,Teaching Place for Extracurricular Lessons,10082,1552,443,2888,312,337,360,322,120,220,246,272,667,587,633,278,649,196
교습학원,Private Teaching Institute,6924,1363,325,1984,149,131,182,242,115,265,279,199,302,234,404,179,475,96
구내식당,Cafeteria,1340,147,136,409,21,39,65,67,5,37,39,28,56,74,80,25,105,7
기술및직업훈련학원,Technical and Vocational Training Institute,3672,785,179,1031,93,121,95,142,34,109,113,111,159,144,190,74,182,110
기술사,Professional Engineer,156,34,8,46,5,1,4,5,2,4,9,10,2,6,7,2,8,3
기타 일반의원,Other General Clinic,240,76,15,46,9,10,5,5,2,8,11,12,5,5,16,1,12,2
