Furniture Shop,Home Appliance Repair Shop,Electrical Appliances Shop,Pub,Manufacture of Signs and Advertisements,Appraiser,Health Additive Food Shop,Dried Fish Shop,Architect,Marriage Brokerage Business,Grain Shop,Certified Public Labor Attorney,Certified Public Accountant,Fruit Shop,Teaching Place for Extracurricular Lessons,Private Teaching Institute,Cafeteria,Technical and Vocational Training Institute,Professional Engineer,Other General Clinic,Other Foreign Food Restaurants,Other Restaurants,Flower Shop,Internal Medicine·Pediatrics Clinic,Singing Room,Tobacco Shop,Billiard Hall,Reading Room,Animal Hospital,Public Bath,Stationery Store,Hair Shop,Judicial Scrivener,Patent Attorney,Lawyer,Real Estate Brokerage,Snack Bar,Photography Service,Obsterics and Gynecology Clinic,Fish Shop,Bookstore,Plastic Surgery Clinic,Tax Accountant,Laundry,Supermarket,Sports Training Institute,Sports Facility Operation,Sports Goods Shop,Watch·Jewerly Shop,Grocery Store,Neuropsychiatric Clinic,Footwear Shop,Indoor Screen Golf Range,Interior Decorating Works,Outdoor Golf Practice Range,Eyeglasses Shop,Ophthalmic Clinic,Pet Supplies Shop,Pharmacy,Inn·Motel,Travel Agency,Art Institute,Wedding Chapel,Clothing Shop,Medical Supplies Shop,Motorcycle Shop,Barber Shop,Ear-Nose-Throat Clinic,General Surgery Clinic,Japanese Food Restaurant,Car Repair Shop,Bicycle Shop,Toy Shop,Butcher Shop,Bakery,General Hospital,Gas Station,Parking Lot Operation,Used Car Store,Chinese Food Restaurant,Vegetable Shop,Hardware Shop,Dental Hospital·Clinic,Bedding and Curtain Shop,Coffee and Beverage Shop,Computer Shop,Mail Order Business,Fast Food Store,Pension·Guest House,Convenience Store,Skin Beauty Shop,Dermatology·Urology Clinic,Oriental Medical Hospital·Clinic,Korean Food Restaurant,Fitness Center,Beer Bar,Cosmetics Shop,Mobile Phone Shop,LPG Station,PC Room,area
98,603,152,424,79,29,508,108,326,121,59,52,55,269,1552,1363,147,785,34,76,1961,607,520,109,561,129,501,457,46,59,162,1715,129,60,640,5575,1921,826,19,295,230,107,435,540,516,805,617,270,135,873,64,119,142,2326,24,142,27,331,453,179,248,630,14,2306,185,40,180,39,113,1098,484,21,76,435,743,22,64,259,73,865,343,75,277,113,3991,152,48313,1935,156,1220,1585,147,251,10499,478,866,1214,701,7,387,Seoul
46,312,53,131,16,6,121,85,24,13,45,8,4,96,443,325,136,179,8,15,207,144,125,31,388,64,231,103,16,23,73,628,17,3,36,1503,530,113,2,161,76,5,30,184,270,265,152,113,29,354,3,29,47,894,3,33,1,150,80,113,33,162,1,793,33,13,45,6,14,175,311,4,29,211,170,14,52,69,37,244,138,26,50,47,1258,33,11644,625,160,526,596,14,42,4558,95,306,375,331,9,175,Incheon
343,1227,298,464,163,46,607,217,222,60,121,39,24,546,2888,1984,409,1031,46,46,1517,859,807,176,999,220,888,426,94,70,299,2669,75,8,142,7149,2900,635,16,402,409,22,201,720,1333,1205,775,676,107,1846,28,175,361,3973,57,194,11,773,533,391,124,939,12,3673,247,68,209,29,106,988,1516,59,181,956,915,54,350,291,230,1256,654,114,285,271,5200,221,53896,2730,515,2716,2564,67,256,18256,452,1265,2068,1164,40,808,Gyeonggi-do
24,99,28,41,17,3,77,85,28,10,36,3,3,56,312,149,21,93,5,9,176,86,106,19,104,27,159,26,10,16,22,255,7,0,12,380,329,54,0,124,29,0,9,103,124,132,57,112,13,319,0,18,35,318,4,10,4,59,58,131,26,94,1,414,16,6,39,2,8,105,145,6,21,104,111,4,73,24,14,182,143,36,23,32,770,15,2590,395,811,386,247,4,15,3191,54,221,213,139,8,98,Gangwon-do
22,134,29,15,8,4,93,15,12,10,31,4,0,64,337,131,39,121,1,10,192,72,92,15,200,19,110,88,7,6,29,290,10,5,22,524,410,61,2,48,48,2,16,80,82,111,50,64,14,142,3,28,42,469,10,24,2,60,45,87,11,78,2,492,8,7,27,3,8,114,195,2,9,144,104,2,46,49,47,128,99,21,25,29,745,24,4287,305,9,220,276,6,26,2438,53,158,251,143,11,53,Daejeon
23,101,25,67,18,5,61,17,36,6,21,4,1,92,360,182,65,95,4,5,145,87,112,13,181,34,162,38,11,18,35,312,4,1,9,487,471,45,1,54,29,3,8,89,123,151,57,79,10,262,3,16,42,349,3,12,4,62,46,112,11,94,6,385,21,10,45,3,10,117,190,2,10,145,104,10,78,34,22,186,106,13,26,26,809,13,3527,435,136,298,281,7,13,3010,45,321,191,127,8,126,Chungcheongbuk-do
40,185,45,69,26,4,181,58,30,12,46,7,2,119,322,242,67,142,5,5,189,100,140,24,229,47,159,45,12,9,45,418,13,1,21,660,517,65,1,119,68,1,21,113,222,161,80,152,20,356,0,20,45,420,7,22,0,84,92,174,20,129,6,534,42,10,77,1,6,118,272,11,40,177,143,4,102,38,34,231,140,33,25,43,1027,25,4541,586,322,494,346,3,27,3869,63,295,319,241,18,144,Chungcheongnam-do
9,28,7,7,1,1,13,5,9,2,2,1,0,19,120,115,5,34,2,2,52,36,21,8,28,4,21,20,5,1,17,65,2,1,3,315,78,17,3,5,25,2,6,26,37,46,30,24,3,26,1,5,15,76,0,8,0,10,26,6,0,60,0,75,7,0,6,2,1,33,34,3,2,27,31,1,3,6,0,37,12,4,8,12,157,6,1017,90,1,67,57,4,10,535,15,29,47,22,0,13,Sejongsi
26,107,21,25,11,3,77,23,29,19,15,5,0,73,220,265,37,109,4,8,91,107,72,16,174,18,237,79,5,13,25,383,26,0,26,648,364,60,4,72,27,1,25,99,100,167,59,74,11,213,3,18,32,493,5,24,2,37,47,67,13,105,3,474,24,5,20,4,10,82,152,1,12,126,100,16,41,38,17,97,71,22,32,31,746,17,3664,375,6,220,453,7,28,2467,40,464,255,105,3,227,Gwangju
45,143,37,40,14,0,137,40,30,17,43,3,2,102,246,279,39,113,9,11,186,112,119,10,124,19,136,49,9,14,32,403,16,0,29,431,462,57,1,116,41,0,13,130,145,132,53,125,22,343,5,27,45,60,3,20,0,52,56,95,18,134,6,448,47,8,59,1,7,108,135,11,15,166,113,9,67,30,25,135,146,24,19,50,815,24,3266,454,130,276,314,9,27,2886,36,259,319,158,14,111,Jeollabuk-do
22,111,34,51,22,2,60,122,36,12,53,3,3,88,272,199,28,111,10,12,111,100,126,18,119,22,183,37,23,18,50,362,20,0,5,415,288,47,0,255,23,0,6,150,157,122,36,85,13,389,3,29,23,304,8,19,3,33,51,118,21,83,1,482,26,4,100,2,8,73,146,4,32,133,111,14,60,25,21,105,142,29,21,37,889,15,2765,358,262,273,365,6,24,3188,33,406,218,101,2,98,Jeollanam-do
31,169,22,42,22,5,105,28,43,27,20,3,8,77,667,302,56,159,2,5,240,156,161,26,181,27,149,83,10,13,39,634,21,2,22,1067,629,106,2,76,59,8,24,150,159,223,105,77,26,267,7,26,83,631,5,26,0,80,86,79,19,172,3,707,37,13,49,6,10,175,224,3,16,263,178,14,54,63,71,204,90,21,32,64,942,26,7387,429,12,354,379,23,49,3926,74,73,379,218,0,71,Daegu
48,112,48,42,29,1,128,89,28,13,41,6,1,160,587,234,74,144,6,5,182,181,150,20,158,55,165,56,22,20,60,532,8,1,7,666,588,60,0,240,57,2,9,131,175,194,77,128,13,408,4,21,70,433,14,22,5,90,71,202,28,143,3,728,37,11,74,1,8,109,270,12,23,223,217,5,121,52,26,253,152,26,26,52,1520,24,4936,526,360,401,389,7,27,5087,56,201,414,168,11,116,Gyeongsangbuk-do
47,239,51,120,25,10,142,83,45,30,28,9,6,152,633,404,80,190,7,16,513,229,186,35,149,59,195,102,15,52,75,635,23,2,71,1634,770,142,9,147,53,11,47,198,199,281,157,80,39,394,14,66,53,877,8,43,7,141,146,163,44,220,4,939,68,19,92,9,22,235,302,14,37,214,223,8,44,463,30,304,179,43,54,61,1448,21,10663,785,45,541,617,22,66,5011,147,279,401,273,6,87,Busan
14,63,18,24,11,6,51,26,18,11,9,4,2,23,278,179,25,74,2,1,127,128,72,5,58,24,106,36,3,12,24,263,4,0,12,356,214,30,0,64,37,0,5,45,83,112,33,42,18,106,2,12,29,276,6,9,1,33,25,61,9,71,1,280,22,5,30,1,3,70,133,3,13,153,70,7,30,35,36,107,41,13,19,21,479,8,2434,330,28,202,210,4,13,2283,29,78,206,128,1,52,Ulsan
43,199,56,151,26,11,149,100,43,14,32,4,1,195,649,475,105,182,8,12,321,286,243,35,199,66,201,75,15,57,61,712,15,1,34,915,800,85,3,182,62,5,27,161,262,302,130,142,38,400,3,50,74,676,14,22,1,95,103,245,29,218,9,828,48,24,105,6,10,145,335,7,30,260,228,9,112,164,35,304,228,43,40,69,1552,26,6924,892,372,504,654,8,40,6329,113,263,499,286,18,99,Gyeongsangnam-do
20,24,29,21,8,1,36,6,41,2,8,2,3,167,196,96,7,110,3,2,236,37,50,8,41,15,75,23,11,6,22,128,3,0,12,307,159,104,0,75,29,3,5,57,38,93,21,60,11,103,0,7,31,310,5,17,0,31,23,26,58,56,2,256,8,6,16,0,4,94,71,2,13,32,78,0,8,11,4,96,50,6,13,13,515,13,1313,200,827,200,160,4,8,1805,38,116,99,29,0,54,Jeju-do
