업종명,영문명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
가구점,Furniture Shop,82,59,58,79,89,67,91,69,75,78,70,84
가전제품수리점,Home Appliance Repair Shop,355,383,561,371,361,368,283,231,246,233,224,240
가전제품판매점,Electrical Appliances Shop,97,71,82,99,71,96,88,79,79,60,59,72
간이주점,Pub,161,179,130,121,140,166,181,181,116,125,149,85
간판광고물업,Manufacture of Signs and Advertisements,56,44,53,36,36,42,48,45,38,35,38,25
감정평가사,Appraiser,4,6,1,6,7,7,29,7,34,28,1,7
건강보조식품가게,Health Additive Food Shop,205,198,245,209,201,232,251,194,215,173,206,217
건어물가게,Dried Fish Shop,84,63,84,104,111,106,97,74,98,80,107,99
건축사,Architect,193,133,70,38,35,48,74,31,65,125,95,93
결혼상담소,Marriage Brokerage Business,31,32,40,28,23,33,37,29,33,32,31,30
곡물가게,Grain Shop,58,40,49,59,64,64,51,44,35,48,42,56
공인노무사,Certified Public Labor Attorney,12,11,9,11,7,7,28,23,14,9,15,11
공인회계사,Certified Public Accountant,9,7,5,12,4,11,13,12,10,12,12,8
과일가게,Fruit Shop,169,155,167,225,273,204,210,158,165,202,184,186
교습소ㆍ공부방,Teaching Place for Extracurricular Lessons,885,814,756,678,617,2199,661,645,690,597,710,830
교습학원,Private Teaching Institute,848,739,710,475,387,517,507,508,586,437,537,673
구내식당,Cafeteria,164,145,122,130,98,117,119,95,77,87,84,102
기술및직업훈련학원,Technical and Vocational Training Institute,411,321,237,223,256,307,314,287,316,316,353,331
기술사,Professional Engineer,25,16,7,12,8,11,6,15,15,11,9,21
기타 일반의원,Other General Clinic,34,25,19,18,16,24,23,13,25,17,6,20
기타외국식전문점,Other Foreign Food Restaurants,502,486,460,405,492,588,631,550,598,551,594,589
기타음식점,Other Restaurants,286,278,261,268,291,326,331,272,242,262,276,234
꽃가게,Flower Shop,290,305,277,256,216,245,275,232,269,243,263,231
내과ㆍ소아과 의원,Internal Medicine·Pediatrics Clinic,61,60,41,40,43,45,49,55,34,31,47,62
노래방,Singing Room,422,408,303,264,333,364,377,287,208,321,374,232
담배가게,Tobacco Shop,26,29,24,17,112,189,98,89,89,77,54,45
당구장,Billiard Hall,360,366,312,309,286,294,319,302,354,254,264,258
독서실,Reading Room,169,139,111,129,122,157,145,174,150,135,152,160
동물병원,Animal Hospital,40,20,42,24,34,30,22,27,20,15,19,21
목욕탕,Public Bath,36,34,34,29,27,42,38,41,35,28,30,33
문구점,Stationery Store,114,112,105,90,66,93,98,78,63,73,95,83
미용실,Hair Shop,960,871,859,777,833,974,932,844,807,754,909,884
