봄,여름,가을,겨울
226,227,223,225
1293,882,703,978
252,263,198,240
391,528,390,425
125,135,111,125
14,43,63,17
655,677,594,620
299,277,285,246
143,153,285,419
91,99,96,93
172,159,125,154
27,58,38,34
21,36,34,24
665,572,551,510
2051,3505,1997,2529
1572,1532,1560,2260
350,331,248,411
716,908,985,1063
27,32,35,62
53,60,48,79
1357,1769,1743,1577
820,929,780,798
749,752,775,826
124,149,112,183
900,1028,903,1062
153,376,220,100
907,915,872,984
362,476,437,468
100,79,54,81
90,121,93,103
261,269,231,309
2469,2750,2470,2715
140,96,58,99
18,18,17,32
270,270,251,312
5372,5724,4964,6972
2701,2878,3015,2836
525,652,679,651
13,13,16,21
701,646,545,543
299,286,290,427
38,54,44,36
103,350,247,187
701,797,757,721
1039,1046,970,970
1043,1123,1045,1291
518,721,619,631
552,628,505,618
103,149,131,139
1788,1910,1534,1569
32,30,29,52
181,188,154,143
250,315,291,313
3154,3243,3113,3375
34,47,49,46
150,175,153,169
9,13,20,26
474,566,570,511
459,465,447,570
491,592,588,578
186,142,118,266
852,723,690,1123
11,16,15,32
3433,3698,3284,3399
236,237,161,242
55,78,49,67
362,238,307,266
29,27,18,41
79,72,86,111
818,1098,1055,868
1196,1246,1214,1259
39,39,46,41
144,161,125,129
943,991,891,944
922,928,925,864
57,43,40,53
534,296,213,262
353,433,382,483
175,181,172,194
1068,1273,1253,1140
802,694,636,602
131,136,128,154
191,231,200,353
271,245,223,232
5353,6650,5537,5323
146,180,144,193
40805,44875,47796,39691
2615,3319,2904,2612
1280,1230,743,899
2095,2413,2303,2087
2207,2593,2249,2444
74,98,72,98
270,213,213,226
18514,21767,19739,19318
374,512,456,479
1309,1690,1368,1233
1734,1963,1818,1953
1003,1154,1058,1119
50,33,25,48
507,957,663,592
